DateTime,Wind Forecast EC00,Wind Forecast EC Latest,Solar Forecast EC00,Solar Forecast EC Latest,Cons Forecast EC00,Cons Forecast EC Latest,Reg. Update,UMM Planned,UMM Unplanned,Flow Update,Spot Price,Intraday Price VWAP
2023-01-01 00:00:00,3878.83,4251,0,0,11302,11109,-231,437.0,313,1,73.6842105263158,84.95789473684209
2023-01-01 01:00:00,3627.71,4025,0,0,11531,11106,272,101.0,378,0,74.17543859649123,89.57543859649122
2023-01-01 02:00:00,3399.28,3936,0,0,11958,10712,70,169.0,496,0,75.15789473684211,80.04561403508771
2023-01-01 03:00:00,3149.15,3826,0,0,12706,10342,-247,397.0,361,0,74.66666666666667,63.28982456140351
2023-01-01 04:00:00,2896.37,3689,0,0,13283,10081,-130,244.0,178,0,75.64912280701755,67.10666666666667
2023-01-01 05:00:00,2750.09,3710,0,0,13682,10089,-53,165.0,189,0,77.12280701754386,70.4519298245614
2023-01-01 06:00:00,2604.47,3800,0,0,14021,10280,-218,84.0,336,1,76.14035087719299,80.48771929824562
2023-01-01 07:00:00,2458.0,3876,0,0,13514,10363,17,118.0,115,1,74.66666666666667,84.31929824561404
2023-01-01 08:00:00,2695.23,3969,4,6,13092,10414,252,96.0,390,0,73.6842105263158,80.36491228070176
2023-01-01 09:00:00,2911.72,4330,119,97,12671,10564,194,74.0,286,0,72.21052631578948,73.36491228070176
2023-01-01 10:00:00,3090.72,4599,385,321,12387,10791,-45,93.0,119,1,72.21052631578948,81.29333333333334
2023-01-01 11:00:00,3178.69,4671,691,634,12130,11074,268,3.0,492,0,72.70175438596492,81.30315789473684
2023-01-01 12:00:00,3266.63,4759,911,872,12246,11235,-268,407.0,104,0,71.2280701754386,50.15929824561403
2023-01-01 13:00:00,3352.11,4877,970,885,12383,11417,5,21.0,486,1,71.71929824561404,87.00631578947369
2023-01-01 14:00:00,3458.61,4939,887,778,12855,11202,165,237.0,101,1,72.21052631578948,88.97614035087719
2023-01-01 15:00:00,3568.33,4842,584,491,12591,11408,-203,465.0,304,1,71.2280701754386,77.80070175438595
2023-01-01 16:00:00,3679.7,4788,165,127,11712,12072,-269,145.0,81,0,69.75438596491227,52.34526315789474
2023-01-01 17:00:00,3744.53,4827,0,0,11055,13367,-169,194.0,252,0,68.7719298245614,60.78456140350877
2023-01-01 18:00:00,3800.16,4932,0,0,10475,13595,201,3.0,84,0,69.75438596491227,74.56842105263159
2023-01-01 19:00:00,3843.28,5155,0,0,10227,13375,224,326.0,224,0,70.24561403508773,76.72491228070174
2023-01-01 20:00:00,3868.09,5091,0,0,10242,13054,-58,102.0,328,1,69.26315789473684,85.52280701754387
2023-01-01 21:00:00,3885.28,4999,0,0,10399,12488,-53,152.0,430,1,68.28070175438596,86.37754385964914
2023-01-01 22:00:00,3887.51,4718,0,0,10729,11884,-115,18.0,453,0,66.80701754385964,65.14175438596492
2023-01-01 23:00:00,3903.85,4625,0,0,11217,11227,-188,174.0,320,0,65.82456140350877,58.71157894736842
2023-01-02 00:00:00,3811.65,4917,0,0,11778,10267,96,399.0,445,0,67.29824561403508,68.45754385964914
2023-01-02 01:00:00,3720.84,5134,0,0,12309,9938,207,345.0,437,0,67.78947368421052,71.42456140350878
2023-01-02 02:00:00,3659.41,5319,0,0,12898,9679,-159,262.0,74,0,68.28070175438596,50.09543859649123
2023-01-02 03:00:00,3595.12,5374,0,0,13290,9575,-40,435.0,442,0,68.7719298245614,58.87859649122807
2023-01-02 04:00:00,3533.85,5456,0,0,13981,9573,-328,478.0,447,0,67.29824561403508,40.16280701754386
2023-01-02 05:00:00,3613.23,5496,0,0,14183,9732,0,222.0,162,1,66.3157894736842,71.24771929824561
2023-01-02 06:00:00,3687.71,5434,0,0,14778,9984,-211,275.0,318,0,66.3157894736842,46.396491228070175
2023-01-02 07:00:00,3751.66,5807,0,0,13980,10117,-293,71.0,152,0,67.29824561403508,37.927719298245606
2023-01-02 08:00:00,4075.01,5950,3,9,13965,10755,85,336.0,237,1,68.7719298245614,78.06105263157895
2023-01-02 09:00:00,4335.87,6109,62,91,13945,11366,270,379.0,433,1,69.26315789473684,92.33122807017544
2023-01-02 10:00:00,4535.23,6211,212,347,13996,11779,-132,258.0,189,1,68.7719298245614,71.84701754385965
2023-01-02 11:00:00,4733.91,6275,418,707,12938,11897,-7,377.0,409,1,67.29824561403508,77.15719298245614
2023-01-02 12:00:00,4867.24,6215,571,928,13425,12062,-307,368.0,153,1,67.29824561403508,59.08491228070176
2023-01-02 13:00:00,4942.67,5965,625,1014,13923,12170,60,350.0,368,1,66.3157894736842,78.82245614035088
2023-01-02 14:00:00,4952.67,5825,601,890,14256,12136,-230,266.0,184,1,66.3157894736842,68.00070175438596
2023-01-02 15:00:00,4909.4,5751,450,593,14472,12309,-108,403.0,424,0,67.78947368421052,62.60210526315789
2023-01-02 16:00:00,4806.68,5685,152,178,13292,13105,-54,303.0,428,1,66.80701754385964,85.00210526315789
2023-01-02 17:00:00,4820.21,5689,0,0,12013,14655,-199,246.0,330,0,65.33333333333333,58.48561403508772
2023-01-02 18:00:00,4822.27,5699,0,0,11091,14606,210,273.0,350,0,65.82456140350877,76.67087719298247
2023-01-02 19:00:00,4810.64,5410,0,0,10661,14260,-202,320.0,165,0,66.3157894736842,59.68421052631579
2023-01-02 20:00:00,4879.08,5535,0,0,10593,13784,-275,350.0,188,1,64.84210526315789,72.37754385964914
2023-01-02 21:00:00,4912.3,5810,0,0,10686,13094,62,460.0,394,0,64.84210526315789,68.15789473684211
2023-01-02 22:00:00,4909.02,5988,0,0,11001,12443,-110,310.0,109,0,64.35087719298245,56.92842105263158
2023-01-02 23:00:00,4967.9,6027,0,0,11521,11688,-54,158.0,326,0,63.36842105263158,60.20982456140351
2023-01-03 00:00:00,4872.02,6177,0,0,12019,10968,283,255.0,370,0,62.87719298245614,72.16631578947367
2023-01-03 01:00:00,4905.79,6247,0,0,12758,10647,-300,4.0,223,1,63.36842105263158,61.04491228070175
2023-01-03 02:00:00,4875.89,6271,0,0,13481,10464,117,54.0,313,1,63.85964912280702,79.88842105263157
2023-01-03 03:00:00,4833.56,6303,0,0,13835,10430,28,460.0,25,1,62.3859649122807,70.6140350877193
2023-01-03 04:00:00,4788.3,6320,0,0,14504,10554,-90,95.0,462,0,61.89473684210526,52.47298245614035
2023-01-03 05:00:00,4753.45,6314,0,0,14594,11146,-143,157.0,10,1,60.91228070175438,62.51859649122807
2023-01-03 06:00:00,4730.23,6282,0,0,15256,12574,236,321.0,433,0,59.43859649122807,63.348771929824565
2023-01-03 07:00:00,4717.12,6172,0,0,14215,14426,270,368.0,367,0,58.94736842105263,66.9101754385965
2023-01-03 08:00:00,4740.63,6224,6,4,13022,15764,-191,305.0,96,1,58.94736842105263,63.874385964912285
2023-01-03 09:00:00,4763.87,6215,180,162,12082,15824,-239,48.0,479,0,58.94736842105263,47.91929824561404
2023-01-03 10:00:00,4781.37,6201,548,502,11639,15532,192,236.0,180,0,58.45614035087719,62.35649122807017
2023-01-03 11:00:00,4814.01,6136,874,795,11690,15031,193,356.0,418,0,56.98245614035088,64.65543859649124
2023-01-03 12:00:00,4831.94,6107,1045,940,12295,14545,87,367.0,3,0,56.49122807017544,53.65684210526316
2023-01-03 13:00:00,4834.3,6055,1073,924,12937,14547,71,108.0,35,0,56.49122807017544,53.91719298245614
2023-01-03 14:00:00,4797.38,5993,944,819,14020,14769,115,213.0,157,0,56.98245614035088,57.04631578947368
2023-01-03 15:00:00,4749.27,5830,636,541,14311,15267,-182,58.0,9,1,56.0,63.0638596491228
2023-01-03 16:00:00,4694.62,5668,200,163,13188,15751,258,33.0,437,0,56.98245614035088,70.64842105263158
2023-01-03 17:00:00,4564.77,5590,0,0,11888,16439,-340,246.0,311,0,58.45614035087719,42.5059649122807
2023-01-03 18:00:00,4419.75,5525,0,0,10931,16257,-80,457.0,455,1,58.45614035087719,78.24280701754387
2023-01-03 19:00:00,4255.5,5188,0,0,10506,15802,-340,201.0,446,1,57.96491228070175,63.98245614035088
2023-01-03 20:00:00,4113.01,4947,0,0,10449,15100,-153,119.0,416,0,59.43859649122807,57.86666666666667
2023-01-03 21:00:00,3930.24,4594,0,0,10542,14411,201,498.0,464,1,60.91228070175438,93.41684210526314
2023-01-03 22:00:00,3710.46,4275,0,0,10851,13404,-129,442.0,38,1,61.40350877192982,75.58526315789474
2023-01-03 23:00:00,3339.59,4307,0,0,11355,12524,31,276.0,473,0,62.3859649122807,64.38035087719298
2023-01-04 00:00:00,3201.0,4356,0,0,11955,11808,-256,344.0,200,1,63.36842105263158,66.44350877192981
2023-01-04 01:00:00,2782.97,3936,0,0,12682,11324,-339,105.0,48,1,63.85964912280702,58.721403508771935
2023-01-04 02:00:00,2306.42,3636,0,0,13406,11029,228,496.0,399,1,64.35087719298245,88.44070175438597
2023-01-04 03:00:00,1842.76,3497,0,0,13768,10931,-182,221.0,38,0,63.85964912280702,44.328421052631576
2023-01-04 04:00:00,1426.89,3160,0,0,14442,11002,134,487.0,197,0,62.87719298245614,55.99508771929824
2023-01-04 05:00:00,1272.72,2799,0,0,14544,11525,-27,419.0,382,0,62.3859649122807,54.81614035087719
2023-01-04 06:00:00,1135.5,2578,0,0,15246,12883,-137,196.0,223,1,63.36842105263158,69.63649122807017
2023-01-04 07:00:00,1015.79,2317,0,0,14379,14711,122,299.0,254,0,62.87719298245614,62.40070175438597
2023-01-04 08:00:00,1121.29,1978,14,6,14213,16022,181,68.0,349,0,61.89473684210526,70.0442105263158
2023-01-04 09:00:00,1244.11,1809,94,86,14026,16365,131,23.0,50,0,62.3859649122807,66.50736842105262
2023-01-04 10:00:00,1375.17,1763,246,233,14068,16187,100,321.0,320,0,61.89473684210526,68.82596491228071
2023-01-04 11:00:00,1557.46,1931,388,375,14001,15713,-297,247.0,136,0,61.40350877192982,48.48912280701754
2023-01-04 12:00:00,1761.3,1917,446,483,14385,15352,-317,400.0,463,1,60.91228070175438,70.14245614035087
2023-01-04 13:00:00,1972.73,1757,470,430,14637,15405,-189,467.0,93,1,59.92982456140351,73.81684210526316
2023-01-04 14:00:00,2146.39,2026,426,414,14737,15553,-76,227.0,421,0,60.91228070175438,64.89122807017543
2023-01-04 15:00:00,2309.83,2177,261,268,14365,15825,-61,295.0,6,1,61.40350877192982,80.23719298245615
2023-01-04 16:00:00,2465.28,2173,72,72,13227,16149,15,95.0,409,1,59.92982456140351,87.25192982456142
2023-01-04 17:00:00,2691.22,2253,0,0,11938,16714,-34,481.0,171,0,60.42105263157895,66.88070175438597
2023-01-04 18:00:00,2921.66,2418,0,0,10992,16476,-59,422.0,457,1,61.89473684210526,91.10315789473684
2023-01-04 19:00:00,3150.88,2805,0,0,10575,15958,-27,56.0,412,0,63.36842105263158,73.0259649122807
2023-01-04 20:00:00,3434.66,3184,0,0,10520,15246,6,153.0,478,0,64.84210526315789,74.97614035087719
2023-01-04 21:00:00,3698.14,3459,0,0,10622,14616,8,111.0,441,0,66.3157894736842,75.42315789473685
2023-01-04 22:00:00,3927.93,3923,0,0,10934,13606,269,103.0,249,0,65.33333333333333,82.5459649122807
2023-01-04 23:00:00,4108.37,4375,0,0,11438,12731,-143,322.0,143,1,66.80701754385964,82.32000000000001
2023-01-05 00:00:00,3913.46,4856,0,0,12052,11918,-66,207.0,357,1,68.28070175438596,84.79087719298245
2023-01-05 01:00:00,4130.73,5207,0,0,12806,11446,237,216.0,61,0,67.29824561403508,71.39508771929825
2023-01-05 02:00:00,4252.17,5578,0,0,13546,11161,53,52.0,223,1,68.7719298245614,82.08912280701755
2023-01-05 03:00:00,4349.13,5791,0,0,13918,11068,-1,111.0,247,0,68.28070175438596,60.31789473684211
2023-01-05 04:00:00,4425.51,5967,0,0,14602,11152,-203,358.0,426,1,67.29824561403508,71.0119298245614
2023-01-05 05:00:00,4536.08,6143,0,0,14704,11687,181,184.0,90,1,67.29824561403508,81.97122807017544
2023-01-05 06:00:00,4619.24,6334,0,0,15429,13061,-336,117.0,395,1,68.28070175438596,62.2680701754386
2023-01-05 07:00:00,4674.62,6417,0,0,14440,14933,-45,359.0,463,0,67.29824561403508,60.70105263157895
2023-01-05 08:00:00,4743.8,6528,7,6,13442,16212,87,365.0,332,1,68.28070175438596,83.74947368421053
